gene_name	refseq_id	enst_id	note
RAD51D	NM_002878.4	ENST00000345365.11	oncokb transcript, MANE select
RAD52	NM_134424.4	ENST00000358495.8	oncokb transcript, MANE select
RAD54L	NM_003579.4	ENST00000371975.9	oncokb transcript, MANE select
RAF1	NM_002880.4	ENST00000251849.9	oncokb transcript, MANE select
RARA	NM_000964.4	ENST00000254066.10	oncokb transcript, MANE select
RASA1	NM_002890.3	ENST00000274376.11	oncokb transcript, MANE select
RB1	NM_000321.3	ENST00000267163.6	oncokb transcript, MANE select
RBM10	NM_005676.5	ENST00000377604.8	oncokb transcript, MANE select
RECQL	NM_002907.3	ENST00000421138.6	oncokb transcript
RECQL4	NM_004260.4	ENST00000617875.6	oncokb transcript, MANE select
REL	NM_002908.2	ENST00000295025.12	oncokb transcript
REST	NM_005612.5	ENST00000309042.12	oncokb transcript, MANE select
RET	NM_020975.6	ENST00000355710.8	oncokb transcript, MANE select
RHEB	NM_005614.4	ENST00000262187.10	oncokb transcript, MANE select
RHOA	NM_001664.4	ENST00000418115.6	oncokb transcript, MANE select
RICTOR	NM_152756.5	ENST00000357387.8	oncokb transcript, MANE select
RIT1	NM_006912.6	ENST00000368323.8	oncokb transcript, MANE select
RNF34	NM_025126.4	ENST00000361234.10	in original mskcc_isoform_overrides_grch38, MANE select
RNF43	NM_017763.6	ENST00000407977.7	oncokb transcript, MANE select
ROS1	NM_002944.2	ENST00000368508.7	oncokb transcript
RPS6KA4	NM_003942.3	ENST00000334205.9	oncokb transcript, MANE select
RPS6KB2	NM_003952.3	ENST00000312629.10	oncokb transcript, MANE select
RPTOR	NM_020761.3	ENST00000306801.8	oncokb transcript, MANE select
RRAGC	NM_022157.4	ENST00000373001.4	oncokb transcript, MANE select
RRAS	NM_006270.5	ENST00000246792.4	oncokb transcript, MANE select
RRAS2	NM_012250.6	ENST00000256196.9	oncokb transcript, MANE select
RTEL1	NM_001283009.2	ENST00000360203.11	oncokb transcript, MANE select
RUNX1	NM_001754.4	ENST00000300305.7	oncokb transcript
RXRA	NM_002957.6	ENST00000481739.2	oncokb transcript, MANE select
RYBP	NM_012234.5	ENST00000477973.5	oncokb transcript
SCG5	NM_001144757.3	ENST00000300175.9	oncokb transcript, MANE select
SDCCAG8	NM_006642.5	ENST00000366541.8	in original mskcc_isoform_overrides_grch38, MANE select
SDHA	NM_004168.4	ENST00000264932.11	oncokb transcript, MANE select
SDHAF2	NM_017841.4	ENST00000301761.7	oncokb transcript, MANE select
SDHB	NM_003000.3	ENST00000375499.8	oncokb transcript, MANE select
SDHC	NM_003001.5	ENST00000367975.7	oncokb transcript, MANE select
SDHD	NM_003002.4	ENST00000375549.8	oncokb transcript, MANE select
SERPINB3	NM_006919.3	ENST00000283752.10	oncokb transcript, MANE select
SESN1	NM_014454.3	ENST00000436639.7	oncokb transcript, MANE select
SESN2	NM_031459.5	ENST00000253063.4	oncokb transcript, MANE select
SESN3	NM_144665.4	ENST00000536441.7	oncokb transcript, MANE select
SETD2	NM_014159.7	ENST00000409792.4	oncokb transcript, MANE select
SETDB1	NM_001145415.1	ENST00000271640.9	oncokb transcript
SF3B1	NM_012433.4	ENST00000335508.11	oncokb transcript, MANE select
SH2B3	NM_005475.3	ENST00000341259.7	oncokb transcript, MANE select
SH2D1A	NM_002351.5	ENST00000371139.9	oncokb transcript, MANE select
SHOC2	NM_007373.4	ENST00000369452.9	oncokb transcript, MANE select
SHQ1	NM_018130.3	ENST00000325599.13	oncokb transcript, MANE select
SLFN11	NM_001104587.1	ENST00000308377.8	oncokb transcript
SLX4	NM_032444.4	ENST00000294008.4	oncokb transcript, MANE select
SMAD2	NM_005901.6	ENST00000262160.11	oncokb transcript, MANE select
SMAD3	NM_005902.4	ENST00000327367.9	oncokb transcript, MANE select
SMAD4	NM_005359.6	ENST00000342988.8	oncokb transcript, MANE select
SMARCA2	NM_003070.5	ENST00000349721.8	oncokb transcript, MANE select
SMARCA4	NM_001387283.1	ENST00000646693.2	oncokb transcript, MANE select
SMARCB1	NM_003073.5	ENST00000644036.2	oncokb transcript, MANE select
SMARCD1	NM_003076.5	ENST00000394963.9	oncokb transcript, MANE select
SMARCE1	NM_003079.5	ENST00000348513.12	oncokb transcript, MANE select
SMO	NM_005631.5	ENST00000249373.8	oncokb transcript, MANE select
SMYD3	NM_001167740.2	ENST00000490107.6	oncokb transcript, MANE select
SOCS1	NM_003745.2	ENST00000332029.4	oncokb transcript, MANE select
SOS1	NM_005633.4	ENST00000402219.8	oncokb transcript, MANE select
SOX17	NM_022454.4	ENST00000297316.5	oncokb transcript, MANE select
SOX2	NM_003106.4	ENST00000325404.3	oncokb transcript, MANE select
SOX9	NM_000346.4	ENST00000245479.3	oncokb transcript, MANE select
SPEN	NM_015001.3	ENST00000375759.8	oncokb transcript, MANE select
SPOP	NM_001007228.1	ENST00000347630.6	oncokb transcript
SPRED1	NM_152594.3	ENST00000299084.9	oncokb transcript, MANE select
SRC	NM_198291.2	ENST00000358208.9	oncokb transcript
SRSF2	NM_001195427.2	ENST00000359995.10	oncokb transcript, MANE select
STAG2	NM_001042749.1	ENST00000218089.13	oncokb transcript
STAT3	NM_139276.3	ENST00000264657.10	oncokb transcript, MANE select
STAT5A	NM_003152.3	ENST00000345506.8	oncokb transcript
STAT5B	NM_012448.4	ENST00000293328.8	oncokb transcript, MANE select
STK11	NM_000455.5	ENST00000326873.12	oncokb transcript, MANE select
STK19	NM_004197.1	ENST00000375331.7	oncokb transcript
STK40	NM_032017.1	ENST00000373129.7	oncokb transcript
SUFU	NM_016169.4	ENST00000369902.8	oncokb transcript, MANE select
SUZ12	NM_015355.4	ENST00000322652.10	oncokb transcript, MANE select
SYK	NM_003177.5	ENST00000375746.1	oncokb transcript
TAP1	NM_000593.6	ENST00000354258.5	oncokb transcript, MANE select
TAP2	NM_001290043.2	ENST00000374897.4	oncokb transcript, MANE select
TBX3	NM_016569.3	ENST00000257566.7	oncokb transcript
TCF3	NM_001136139.4	ENST00000588136.7	oncokb transcript, MANE select
TCF7L2	NM_001146274.1	ENST00000627217.3	oncokb transcript
TEK	NM_000459.5	ENST00000380036.10	oncokb transcript, MANE select
TENT5C	NM_017709.4	ENST00000369448.4	oncokb transcript, MANE select
TERT	NM_198253.3	ENST00000310581.10	oncokb transcript, MANE select
TET1	NM_030625.3	ENST00000373644.5	oncokb transcript, MANE select
TET2	NM_001127208.3	ENST00000380013.9	oncokb transcript, MANE select
TGFBR1	NM_004612.4	ENST00000374994.9	oncokb transcript, MANE select
TGFBR2	NM_003242.6	ENST00000295754.10	oncokb transcript, MANE select
TMEM127	NM_017849.4	ENST00000258439.8	oncokb transcript, MANE select
TMPRSS2	NM_001135099.1	ENST00000398585.7	oncokb transcript
TNFAIP3	NM_006290.3	ENST00000237289.8	oncokb transcript
TNFRSF14	NM_003820.4	ENST00000355716.5	oncokb transcript, MANE select
TOE1	NM_025077.4	ENST00000372090.6	in original mskcc_isoform_overrides_grch38, MANE select
TOP1	NM_003286.4	ENST00000361337.3	oncokb transcript, MANE select
TP53	NM_000546.6	ENST00000269305.9	oncokb transcript, MANE select
TP53BP1	NM_001141980.3	ENST00000382044.9	oncokb transcript, MANE select
TP63	NM_003722.5	ENST00000264731.8	oncokb transcript, MANE select
TRAF2	NM_021138.4	ENST00000247668.7	oncokb transcript, MANE select
TRAF7	NM_032271.3	ENST00000326181.11	oncokb transcript, MANE select
TRIP13	NM_004237.4	ENST00000166345.8	oncokb transcript, MANE select
TSC1	NM_000368.5	ENST00000298552.9	oncokb transcript, MANE select
TSC2	NM_000548.5	ENST00000219476.9	oncokb transcript, MANE select
TSHR	NM_000369.2	ENST00000541158.6	oncokb transcript
U2AF1	NM_006758.3	ENST00000291552.9	oncokb transcript, MANE select
UPF1	NM_002911.4	ENST00000262803.10	oncokb transcript, MANE select
USP8	NM_005154.5	ENST00000307179.9	oncokb transcript, MANE select
VEGFA	NM_001171623.1	ENST00000523873.5	oncokb transcript
VHL	NM_000551.4	ENST00000256474.3	oncokb transcript, MANE select
VTCN1	NM_024626.4	ENST00000369458.8	oncokb transcript, MANE select
WDR74	NM_001369450.1	ENST00000278856.9	in original mskcc_isoform_overrides_grch38, changes to MANE select as they have the same protein sequence
WT1	NM_024426.6	ENST00000452863.10	oncokb transcript, MANE select
WWTR1	NM_015472.6	ENST00000360632.8	oncokb transcript, MANE select
XIAP	NM_001167.3	ENST00000355640.3	oncokb transcript
XPO1	NM_003400.4	ENST00000401558.7	oncokb transcript, MANE select
XRCC2	NM_005431.2	ENST00000359321.2	oncokb transcript, MANE select
YAP1	NM_001130145.3	ENST00000282441.10	oncokb transcript, MANE select
YES1	NM_005433.4	ENST00000314574.5	oncokb transcript, MANE select
ZFHX3	NM_006885.4	ENST00000268489.10	oncokb transcript, MANE select
ZNRF3	NM_001206998.2	ENST00000544604.7	oncokb transcript, MANE select
ZRSR2	NM_005089.4	ENST00000307771.8	oncokb transcript, MANE select
MAL2	NM_052886.3	ENST00000614891.5	oncokb transcript, MANE select
LEF1	NM_016269.5	ENST00000265165.6	oncokb transcript, MANE select
ALDH1L2	NM_001034173.4	ENST00000258494.14	oncokb transcript, MANE select
GPC3	NM_004484.4	ENST00000370818.8	oncokb transcript, MANE select
SSX2	NM_175698.4	ENST00000337502.6	oncokb transcript, MANE select
ARHGAP26	NM_015071	ENST00000274498.9	oncokb transcript
ATF1	NM_005171.5	ENST00000262053.8	oncokb transcript, MANE select
EGR2	NM_000399.5	ENST00000242480.4	oncokb transcript, MANE select
CIITA	NM_000246.4	ENST00000324288.14	oncokb transcript, MANE select
EXT1	NM_000127.3	ENST00000378204.7	oncokb transcript, MANE select
MECOM	NM_001105078.3	ENST00000468789.5	oncokb transcript
USP1	NM_003368.5	ENST00000339950.5	oncokb transcript, MANE select
FZR1	NM_001136198	ENST00000395095.7	oncokb transcript
POU3F4	NM_000307.5	ENST00000644024.2	oncokb transcript, MANE select
LGR5	NM_003667.4	ENST00000266674.10	oncokb transcript, MANE select
EWSR1	NM_005243.4	ENST00000397938.7	oncokb transcript, MANE select
SFRP2	NM_003013.3	ENST00000274063.5	oncokb transcript, MANE select
ARID3A	NM_005224.3	ENST00000263620.8	oncokb transcript, MANE select
PTPN14	NM_005401.5	ENST00000366956.10	oncokb transcript, MANE select
TFE3	NM_006521.6	ENST00000315869.8	oncokb transcript, MANE select
PHF19	NM_015651.3	ENST00000373896.8	oncokb transcript, MANE select
UBTF	NM_014233.4	ENST00000436088.6	oncokb transcript, MANE select
MYO5A	NM_000259	ENST00000399231.8	oncokb transcript
CHTF8	NM_001039690	ENST00000398235.6	oncokb transcript
ZFP36L2	NM_006887.5	ENST00000282388.4	oncokb transcript, MANE select
CRTC1	NM_015321.3	ENST00000321949.13	oncokb transcript, MANE select
KLF2	NM_016270.4	ENST00000248071.6	oncokb transcript, MANE select
FOLR1	NM_000802	ENST00000312293.9	oncokb transcript
TLE1	NM_005077.5	ENST00000376499.8	oncokb transcript, MANE select
CD22	NM_001771.4	ENST00000085219.10	oncokb transcript, MANE select
NCOA4	NM_001145263.2	ENST00000581486.6	oncokb transcript, MANE select
FURIN	NM_002569.4	ENST00000268171.8	oncokb transcript, MANE select
STAT2	NM_005419.4	ENST00000314128.9	oncokb transcript, MANE select
CCNB3	NM_033031.2	ENST00000276014.11	oncokb transcript
JARID2	NM_004973.4	ENST00000341776.7	oncokb transcript, MANE select
PICALM	NM_007166.4	ENST00000393346.8	oncokb transcript, MANE select
ATXN2	NM_002973.3	ENST00000550104.5	oncokb transcript
TNFSF13	NM_003808.4	ENST00000338784.9	oncokb transcript, MANE select
ID1	NM_002165.4	ENST00000376112.4	oncokb transcript, MANE select
SSX1	NM_005635.4	ENST00000376919.4	oncokb transcript, MANE select
KDM5D	NM_004653.5	ENST00000317961.9	oncokb transcript, MANE select
ZMYM3	NM_201599.3	ENST00000314425.9	oncokb transcript, MANE select
ALDH1A3	NM_000693.4	ENST00000329841.10	oncokb transcript, MANE select
RAD17	NM_133339	ENST00000380774.7	oncokb transcript
JAZF1	NM_175061.4	ENST00000283928.10	oncokb transcript, MANE select
ZNF217	NM_006526	ENST00000302342.3	oncokb transcript
BCL11B	NM_138576.4	ENST00000357195.8	oncokb transcript, MANE select
NQO1	NM_000903.3	ENST00000320623.10	oncokb transcript, MANE select
HSD3B1	NM_000862.3	ENST00000369413.8	oncokb transcript, MANE select
U2AF2	NM_007279.3	ENST00000308924.9	oncokb transcript, MANE select
TNFRSF17	NM_001192.3	ENST00000053243.6	oncokb transcript, MANE select
MLH3	NM_001040108.2	ENST00000355774.7	oncokb transcript, MANE select
P2RY8	NM_178129.5	ENST00000381297.10	oncokb transcript, MANE select
GABRA6	NM_000811.3	ENST00000274545.10	oncokb transcript, MANE select
ERC1	NM_178040.4	ENST00000360905.9	oncokb transcript, MANE select
CTC1	NM_025099.6	ENST00000651323.1	oncokb transcript, MANE select
CDH2	NM_001792.5	ENST00000269141.8	oncokb transcript, MANE select
HFE	NM_000410.4	ENST00000357618.10	oncokb transcript, MANE select
HIF1A	NM_001530.4	ENST00000337138.9	oncokb transcript, MANE select
SPRTN	NM_032018.7	ENST00000295050.12	oncokb transcript, MANE select
MERTK	NM_006343.3	ENST00000295408.9	oncokb transcript, MANE select
FEV	NM_017521.3	ENST00000295727.2	oncokb transcript, MANE select
TBL1XR1	NM_024665.4	ENST00000430069.5	oncokb transcript
POU3F2	NM_005604.4	ENST00000328345.8	oncokb transcript, MANE select
CTNNA1	NM_001903.5	ENST00000302763.12	oncokb transcript, MANE select
H2BC17	NM_003527.4	ENST00000616182.2	oncokb transcript, MANE select
CRBN	NM_016302.4	ENST00000231948.9	oncokb transcript, MANE select
CDH11	NM_001797.4	ENST00000268603.9	oncokb transcript, MANE select
ETNK1	NM_018638.4	ENST00000671733.1	oncokb transcript
ALOX5	NM_000698.5	ENST00000374391.7	oncokb transcript, MANE select
PAX8	NM_003466.4	ENST00000429538.8	oncokb transcript, MANE select
NFATC2	NM_173091.4	ENST00000396009.7	oncokb transcript
INTS6	NM_012141.3	ENST00000311234.9	oncokb transcript, MANE select
SZT2	NM_015284	ENST00000562955.2	oncokb transcript
HMGA1	NM_145899.3	ENST00000311487.9	oncokb transcript, MANE select
FGF8	NM_033164	ENST00000344255.8	oncokb transcript
GRB7	NM_005310.5	ENST00000309156.9	oncokb transcript, MANE select
H2AC16	NM_003511.3	ENST00000613174.2	oncokb transcript, MANE select
CDH4	NM_001794.5	ENST00000614565.5	oncokb transcript, MANE select
XPC	NM_004628.5	ENST00000285021.12	oncokb transcript, MANE select
PDGFB	NM_002608.4	ENST00000331163.11	oncokb transcript, MANE select
MYBL1	NM_001080416.4	ENST00000522677.8	oncokb transcript, MANE select
MEF2D	NM_005920.4	ENST00000348159.9	oncokb transcript, MANE select
ATG5	NM_004849.4	ENST00000369076.8	oncokb transcript, MANE select
SOX10	NM_006941	ENST00000360880.6	oncokb transcript
SETD4	NM_017438.5	ENST00000332131.9	oncokb transcript, MANE select
DKK4	NM_014420.3	ENST00000220812.3	oncokb transcript, MANE select
IFNAR1	NM_000629.3	ENST00000270139.8	oncokb transcript, MANE select
KAT6A	NM_006766.5	ENST00000265713.8	oncokb transcript, MANE select
MOB3B	NM_024761.5	ENST00000262244.6	oncokb transcript, MANE select
BCL9	NM_004326.4	ENST00000234739.8	oncokb transcript, MANE select
PRPF8	NM_006445.4	ENST00000304992.11	oncokb transcript, MANE select
H3C15	NM_001005464.3	ENST00000403683.2	oncokb transcript, MANE select
ZNF750	NM_024702.3	ENST00000269394.4	oncokb transcript, MANE select
ANK1	NM_000037.4	ENST00000289734.13	oncokb transcript, MANE select
ABCC3	NM_003786.4	ENST00000285238.13	oncokb transcript, MANE select
FRS2	NM_001042555	ENST00000397997.6	oncokb transcript
ACTG1	NM_001614.5	ENST00000573283.7	oncokb transcript, MANE select
BIRC5	NM_001168.3	ENST00000350051.8	oncokb transcript, MANE select
EMSY	NM_020193	ENST00000334736.7	oncokb transcript
FAS	NM_000043.6	ENST00000652046.1	oncokb transcript, MANE select
COL2A1	NM_001844.5	ENST00000380518.8	oncokb transcript, MANE select
ABL2	NM_007314.4	ENST00000502732.6	oncokb transcript, MANE select
MBD4	NM_003925	ENST00000249910.5	oncokb transcript
KDSR	NM_002035.4	ENST00000645214.2	oncokb transcript, MANE select
BCR	NM_004327.4	ENST00000305877.13	oncokb transcript, MANE select
NCSTN	NM_015331.3	ENST00000294785.10	oncokb transcript, MANE select
KIAA1549	NM_001164665.2	ENST00000422774.2	oncokb transcript, MANE select
YWHAE	NM_006761.5	ENST00000264335.13	oncokb transcript, MANE select
CNTRL	NM_007018.6	ENST00000373855.7	oncokb transcript, MANE select
ARHGEF12	NM_015313.3	ENST00000397843.7	oncokb transcript, MANE select
EPOR	NM_000121.4	ENST00000222139.11	oncokb transcript, MANE select
ARID3C	NM_001017363.4	ENST00000378909.4	oncokb transcript, MANE select
FANCG	NM_004629.2	ENST00000378643.8	oncokb transcript, MANE select
FBXO11	NM_001190274.2	ENST00000403359.8	oncokb transcript, MANE select
MAP4K4	NM_001242559	ENST00000347699.8	oncokb transcript
REV3L	NM_002912	ENST00000358835.7	oncokb transcript
SAMHD1	NM_015474.4	ENST00000646673.2	oncokb transcript, MANE select
YY1	NM_003403.5	ENST00000262238.10	oncokb transcript, MANE select
ROBO1	NM_002941.4	ENST00000464233.6	oncokb transcript, MANE select
UBR5	NM_015902.6	ENST00000520539.6	oncokb transcript, MANE select
POU2F2	NM_001207025	ENST00000526816.6	oncokb transcript
BCL3	NM_005178.5	ENST00000164227.10	oncokb transcript, MANE select
STAG1	NM_005862.3	ENST00000383202.7	oncokb transcript, MANE select
CLIP1	NM_001247997.2	ENST00000620786.5	oncokb transcript, MANE select
ERCC1	NM_001983.4	ENST00000300853.8	oncokb transcript, MANE select
TLX1	NM_005521.4	ENST00000370196.11	oncokb transcript, MANE select
FOXN4	NM_213596.3	ENST00000299162.10	oncokb transcript, MANE select
KSR2	NM_173598.6	ENST00000339824.7	oncokb transcript, MANE select
BTG1	NM_001731.3	ENST00000256015.5	oncokb transcript, MANE select
ADAR	NM_001111.5	ENST00000368474.9	oncokb transcript, MANE select
SS18	NM_001007559.3	ENST00000415083.7	oncokb transcript, MANE select
ATP6V1B2	NM_001693.4	ENST00000276390.7	oncokb transcript, MANE select
WWP1	NM_007013.3	ENST00000265428.4	oncokb transcript
MLLT3	NM_004529.4	ENST00000380338.9	oncokb transcript, MANE select
MLLT10	NM_001195626.3	ENST00000307729.12	oncokb transcript, MANE select
NT5C2	NM_001134373.2	ENST00000343289.9	oncokb transcript
LTK	NM_002344.6	ENST00000263800.11	oncokb transcript, MANE select
MIDEAS	NM_001043318.2	ENST00000286523.9	oncokb transcript
SET	NM_001122821	ENST00000372692.8	oncokb transcript
BCORL1	NM_021946.4	ENST00000218147.11	oncokb transcript
SETD7	NM_030648.4	ENST00000274031.8	oncokb transcript, MANE select
RANBP2	NM_006267.5	ENST00000283195.11	oncokb transcript, MANE select
H2AC13	NM_003509.3	ENST00000358739.5	oncokb transcript, MANE select
PRKACA	NM_002730.4	ENST00000308677.9	oncokb transcript, MANE select
WIF1	NM_007191.5	ENST00000286574.9	oncokb transcript, MANE select
CILK1	NM_014920.5	ENST00000676107.1	oncokb transcript, MANE select
ARID4B	NM_016374.6	ENST00000264183.9	oncokb transcript, MANE select
PRCC	NM_005973.5	ENST00000271526.9	oncokb transcript, MANE select
FOLH1	NM_004476.3	ENST00000256999.7	oncokb transcript, MANE select
TAL1	NM_001287347.2	ENST00000294339.3	oncokb transcript
FOXO3	NM_001455	ENST00000343882.10	oncokb transcript
DIS3L2	NM_152383.5	ENST00000325385.12	oncokb transcript, MANE select
FANCB	NM_001018113.3	ENST00000650831.1	oncokb transcript, MANE select
MAF	NM_001031804.2	ENST00000393350.1	oncokb transcript
MEF2C	NM_001193350	ENST00000437473.6	oncokb transcript
CBLB	NM_170662.5	ENST00000394030.8	oncokb transcript, MANE select
TLX3	NM_021025.4	ENST00000296921.6	oncokb transcript, MANE select
ECT2L	NM_001077706.2	ENST00000367682.6	oncokb transcript
ADHFE1	NM_144650.3	ENST00000396623.8	oncokb transcript, MANE select
SF3B2	NM_006842.3	ENST00000322535.11	oncokb transcript, MANE select
MS4A1	NM_152866.3	ENST00000345732.9	oncokb transcript, MANE select
HMGA2	NM_003483.6	ENST00000403681.7	oncokb transcript, MANE select
COL1A1	NM_000088.4	ENST00000225964.10	oncokb transcript, MANE select
ASCL1	NM_004316.4	ENST00000266744.4	oncokb transcript, MANE select
PCBP1	NM_006196.4	ENST00000303577.7	oncokb transcript, MANE select
ABCB1	NM_001348946.2	ENST00000622132.5	oncokb transcript, MANE select
APOBEC3B	NM_004900.5	ENST00000333467.4	oncokb transcript, MANE select
DEK	NM_003472.4	ENST00000652689.1	oncokb transcript, MANE select
CUL4A	NM_001008895.4	ENST00000375440.9	oncokb transcript, MANE select
KLHL6	NM_130446.4	ENST00000341319.8	oncokb transcript, MANE select
BAALC	NM_001364874.1	ENST00000297574.6	oncokb transcript, not MANE select but longer
MYB	NM_005375	ENST00000367814.8	oncokb transcript
ZFP36L1	NM_001244698.1	ENST00000336440.4	oncokb transcript
ASCL3	NM_020646.3	ENST00000531618.2	oncokb transcript, MANE select
VAV1	NM_005428.4	ENST00000602142.6	oncokb transcript, MANE select
ADARB2	NM_018702.4	ENST00000381312.6	oncokb transcript, MANE select
DUSP22	NM_020185.4	ENST00000344450.9	oncokb transcript
DKK2	NM_014421.3	ENST00000285311.8	oncokb transcript, MANE select
H1-5	NM_005322.3	ENST00000331442.5	oncokb transcript, MANE select
CBFA2T3	NM_005187.6	ENST00000268679.9	oncokb transcript, MANE select
CEP43	NM_007045.4	ENST00000366847.9	oncokb transcript, MANE select
LRP6	NM_002336.3	ENST00000261349.9	oncokb transcript, MANE select
H2AC11	NM_021064.5	ENST00000359193.4	oncokb transcript, MANE select
PHLPP2	NM_015020.3	ENST00000568954.5	oncokb transcript, MANE select
XRCC1	NM_006297.3	ENST00000262887.10	oncokb transcript, MANE select
DNM2	NM_001005360	ENST00000355667.11	oncokb transcript
ETV5	NM_004454.3	ENST00000306376.10	oncokb transcript, MANE select
DKK1	NM_012242.4	ENST00000373970.4	oncokb transcript, MANE select
SOCS3	NM_003955.5	ENST00000330871.3	oncokb transcript, MANE select
CD70	NM_001252.5	ENST00000245903.4	oncokb transcript, MANE select
MN1	NM_002430.3	ENST00000302326.5	oncokb transcript, MANE select
SETD1B	NM_001353345.2	ENST00000604567.6	oncokb transcript, MANE select
CLTCL1	NM_007098.4	ENST00000427926.6	oncokb transcript, MANE select
MAML2	NM_032427.4	ENST00000524717.6	oncokb transcript, MANE select
TYMS	NM_001071.4	ENST00000323274.15	oncokb transcript, MANE select
H2AC17	NM_003514.2	ENST00000359611.4	oncokb transcript, MANE select
ACVR1B	NM_004302.5	ENST00000257963.9	oncokb transcript, MANE select
ZBTB7A	NM_015898.4	ENST00000322357.9	oncokb transcript, MANE select
UBA1	NM_003334.4	ENST00000335972.11	oncokb transcript, MANE select
IKZF3	NM_012481.5	ENST00000346872.8	oncokb transcript, MANE select
TOP2A	NM_001067.4	ENST00000423485.6	oncokb transcript, MANE select
PAX3	NM_181457	ENST00000350526.9	oncokb transcript
ARID4A	NM_002892.4	ENST00000355431.8	oncokb transcript, MANE select
CHCHD7	NM_001011671.3	ENST00000355315.8	oncokb transcript, MANE select
STAT6	NM_003153.5	ENST00000300134.8	oncokb transcript, MANE select
AFF4	NM_014423.4	ENST00000265343.10	oncokb transcript, MANE select
ZBTB20	NM_001164342.2	ENST00000474710.6	oncokb transcript
HDAC7	XM_011538481.1	ENST00000427332.6	oncokb transcript
MLF1	NM_022443.5	ENST00000355893.11	oncokb transcript
ELK4	NM_001973.4	ENST00000357992.9	oncokb transcript, MANE select
DDX41	NM_016222.4	ENST00000330503.12	oncokb transcript, MANE select
PUM1	NM_014676	ENST00000257075.9	oncokb transcript
DKK3	NM_001018057.1	ENST00000326932.8	oncokb transcript
CCN6	NM_198239.2	ENST00000368666.7	oncokb transcript, MANE select
ARHGEF28	NM_001177693.1	ENST00000426542.6	oncokb transcript
SMG1	NM_015092.5	ENST00000446231.7	oncokb transcript, MANE select
PHLPP1	NM_194449.4	ENST00000262719.10	oncokb transcript, MANE select
COL5A1	NM_000093.5	ENST00000371817.8	oncokb transcript, MANE select
H2BC12	NM_001312653.2	ENST00000356950.2	oncokb transcript, MANE select
QKI	NM_006775.3	ENST00000361752.8	oncokb transcript, MANE select
GEN1	NM_001130009.3	ENST00000381254.7	oncokb transcript, MANE select
EBF1	NM_024007.5	ENST00000313708.11	oncokb transcript, MANE select
AKT1S1	NM_001098633.4	ENST00000344175.10	oncokb transcript, MANE select
ACKR3	NM_020311.3	ENST00000272928.4	oncokb transcript, MANE select
ADGRA2	NM_032777.10	ENST00000412232.3	oncokb transcript, MANE select
CUX1	NM_181552.4	ENST00000292535.12	oncokb transcript, MANE select
BACH2	NM_021813.4	ENST00000257749.9	oncokb transcript, MANE select
NUP214	NM_005085.4	ENST00000359428.10	oncokb transcript, MANE select
SETD6	NM_001160305.4	ENST00000219315.9	oncokb transcript, MANE select
HSP90AA1	NM_005348.4	ENST00000216281.13	oncokb transcript, MANE select
SETDB2	NM_031915.2	ENST00000317257.12	oncokb transcript
NFE2	NM_001136023.2	ENST00000312156.8	oncokb transcript
ING1	NM_005537	ENST00000375774.3	oncokb transcript
PTK7	NM_002821.5	ENST00000230419.9	oncokb transcript, MANE select
LARP4B	NM_015155.3	ENST00000316157.8	oncokb transcript, MANE select
TAF1	NM_004606.5	ENST00000423759.6	oncokb transcript, MANE select
ELF4	NM_001421.4	ENST00000308167.10	oncokb transcript, MANE select
KEL	NM_000420.3	ENST00000355265.7	oncokb transcript, MANE select
TONSL	NM_013432.5	ENST00000409379.8	oncokb transcript, MANE select
OGA	NM_012215.5	ENST00000361464.8	oncokb transcript, MANE select
RIOK2	NM_018343.3	ENST00000283109.8	oncokb transcript, MANE select
BRD2	NM_005104.4	ENST00000374825.9	oncokb transcript, MANE select
TCL1A	NM_021966.3	ENST00000402399.6	oncokb transcript, MANE select
CCAR1	NM_018237.4	ENST00000265872.11	oncokb transcript, MANE select
FGF6	NM_020996.3	ENST00000228837.3	oncokb transcript, MANE select
RUNX1T1	NM_175634.3	ENST00000523629.7	oncokb transcript, MANE select
PLCG1	NM_182811.1	ENST00000373271.5	oncokb transcript
SGK1	NM_005627.3	ENST00000237305.12	oncokb transcript
DTX1	NM_004416.2	ENST00000257600.3	oncokb transcript
FANCE	NM_021922.3	ENST00000229769.3	oncokb transcript, MANE select
STAT4	NM_001243835	ENST00000358470.8	oncokb transcript
GRM3	NM_000840.3	ENST00000361669.7	oncokb transcript, MANE select
NUP98	NM_139132.4	ENST00000355260.8	oncokb transcript
SETD1A	NM_014712.3	ENST00000262519.14	oncokb transcript, MANE select
UCHL1	NM_004181.5	ENST00000284440.9	oncokb transcript, MANE select
BUB1B	NM_001211.6	ENST00000287598.11	oncokb transcript, MANE select
KLF3	NM_016531.6	ENST00000261438.10	oncokb transcript, MANE select
FUS	NM_004960.4	ENST00000254108.12	oncokb transcript, MANE select
PPP2R2A	NM_002717.4	ENST00000380737.8	oncokb transcript, MANE select
ETS1	NM_005238	ENST00000319397.7	oncokb transcript
IQGAP1	NM_003870.4	ENST00000268182.10	oncokb transcript, MANE select
LRP5	NM_002335.4	ENST00000294304.12	oncokb transcript, MANE select
ADGRG4	NM_153834.4	ENST00000394143.6	oncokb transcript, MANE select
PTPN13	NM_080683.3	ENST00000411767.7	oncokb transcript, MANE select
BTG2	NM_006763.3	ENST00000290551.5	oncokb transcript, MANE select
