enst_id	ensp_id	uniprot_protein_length	Final_mapping_uniprot_id	Gene_Symbol
ENST00000298910	ENSP00000298910	2527	Q5S007	LRRK2
ENST00000298912	ENSP00000298912	1002	Q96JQ2	CLMN
ENST00000298943	ENSP00000298943	255	Q5VWW1	C1QL3
ENST00000298966	ENSP00000298966	59	Q9NRQ5	SMCO4
ENST00000299001	ENSP00000299001	852	Q7Z3Z4	PIWIL4
ENST00000299022	ENSP00000299022	499	P11150	LIPC
ENST00000299045	ENSP00000299045	519	Q8N4U5	TCP11L2
ENST00000299084	ENSP00000299084	444	Q7Z699	SPRED1
ENST00000299088	ENSP00000299088	538	Q9H972	C14orf93
ENST00000299106	ENSP00000299106	310	Q9BX67	JAM3
ENST00000299138	ENSP00000299138	796	Q96QK1	VPS35
ENST00000299140	ENSP00000299140	167	Q7Z5L4	SPATA19
ENST00000299155	ENSP00000299155	453	Q9BXJ7	AMN
ENST00000299162	ENSP00000299162	517	Q96NZ1	FOXN4
ENST00000299163	ENSP00000299163	349	Q9NWT6	HIF1AN
ENST00000299164	ENSP00000299164	950	Q8TE58	ADAMTS15
ENST00000299166	ENSP00000299166	186	O95169	NDUFB8
ENST00000299174	ENSP00000299174	145	Q9NXH3	PPP1R14D
ENST00000299178	ENSP00000299178	418	P37288	AVPR1A
ENST00000299191	ENSP00000299191	265	Q8WTQ4	C16orf78
ENST00000299192	ENSP00000299192	680	Q7Z4Q2	HEATR3
ENST00000299194	ENSP00000299194	370	Q8N967	LRTM2
ENST00000299204	ENSP00000299204	447	Q9UL15	BAG5
ENST00000299206	ENSP00000299206	575	Q9UGP5	POLL
ENST00000299213	ENSP00000299213	491	Q9BRS8	LARP6
ENST00000299237	ENSP00000299237	582	Q9P2F9	ZNF319
ENST00000299238	ENSP00000299238	775	Q86YV9	HPS6
ENST00000299275	ENSP00000299275	1116	Q9HAU0	PLEKHA5
ENST00000299290	ENSP00000299290	351	Q96M53	TBATA
ENST00000299295	ENSP00000299295	273	Q9H9P2	CHODL
ENST00000299299	ENSP00000299299	104	P61457	PCBD1
ENST00000299300	ENSP00000299300	535	P78371	CCT2
ENST00000299308	ENSP00000299308	1078	Q14DG7	TMEM132B
ENST00000299314	ENSP00000299314	1256	Q3T906	GNPTAB
ENST00000299320	ENSP00000299320	520	Q8IYS4	C16orf71
ENST00000299333	ENSP00000299333	215	Q9NY72	SCN3B
ENST00000299335	ENSP00000299335	276	Q9Y6N1	COX11
ENST00000299338	ENSP00000299338	508	Q96M60	FAM227B
ENST00000299339	ENSP00000299339	228	P78369	CLDN10
ENST00000299340	ENSP00000299340	154	Q96J86	CYYR1
ENST00000299353	ENSP00000299353	106	Q96B45	BORCS7
ENST00000299367	ENSP00000299367	752	P06681	C2
ENST00000299381	ENSP00000299381	110	Q96DE5	ANAPC16
ENST00000299413	ENSP00000299413	344	Q96DX7	TRIM44
ENST00000299415	ENSP00000299415	153	A6NF36	CCDC182
ENST00000299421	ENSP00000299421	452	Q13418	ILK
ENST00000299424	ENSP00000299424	218	Q12962	TAF10
ENST00000299427	ENSP00000299427	563	O14773	TPP1
ENST00000299432	ENSP00000299432	460	Q4VC12	MSS51
ENST00000299440	ENSP00000299440	1043	P15918	RAG1
ENST00000299441	ENSP00000299441	3298	Q96JQ0	DCHS1
ENST00000299443	ENSP00000299443	584	Q86YR6	POTED
ENST00000299454	ENSP00000299454	317	Q9H207	OR10A5
ENST00000299459	ENSP00000299459	308	Q9H210	OR2D2
ENST00000299481	ENSP00000299481	1093	Q86W24	NLRP14
ENST00000299492	ENSP00000299492	876	Q8ND30	PPFIBP2
ENST00000299498	ENSP00000299498	276	Q6BCY4	CYB5R2
ENST00000299502	ENSP00000299502	415	P05120	SERPINB2
ENST00000299505	ENSP00000299505	1070	O15063	KIAA0355
ENST00000299506	ENSP00000299506	506	P50607	TUB
ENST00000299518	ENSP00000299518	366	P50213	IDH3A
ENST00000299529	ENSP00000299529	137	P29762	CRABP1
ENST00000299550	ENSP00000299550	1216	O15016	TRIM66
ENST00000299563	ENSP00000299563	708	Q8NCN4	RNF169
ENST00000299565	ENSP00000299565	468	P30532	CHRNA5
ENST00000299575	ENSP00000299575	823	O43313	ATMIN
ENST00000299578	ENSP00000299578	395	Q6P387	C16orf46
ENST00000299596	ENSP00000299596	291	Q5BJD5	TMEM41B
ENST00000299601	ENSP00000299601	666	Q8WVC0	LEO1
ENST00000299608	ENSP00000299608	454	Q96JJ7	TMX3
ENST00000299610	ENSP00000299610	255	P55083	MFAP4
ENST00000299626	ENSP00000299626	526	Q9BVK2	ALG8
ENST00000299633	ENSP00000299633	203	Q9Y3E1	HDGFL3
ENST00000299638	ENSP00000299638	368	P0CAP2	POLR2M
ENST00000299641	ENSP00000299641	883	P52849	NDST2
ENST00000299642	ENSP00000299642	197	O75596	CLEC3A
ENST00000299663	ENSP00000299663	219	Q9ULY5	CLEC4E
ENST00000299665	ENSP00000299665	215	Q8WXI8	CLEC4D
ENST00000299667	ENSP00000299667	446	P17036	ZNF3
ENST00000299687	ENSP00000299687	2248	Q9C0G0	ZNF407
ENST00000299697	ENSP00000299697	265	O00142	TK2
ENST00000299698	ENSP00000299698	1454	A8K2U0	A2ML1
ENST00000299705	ENSP00000299705	217	Q9Y3Q3	TMED3
ENST00000299709	ENSP00000299709	435	A6NNN8	SLC38A8
ENST00000299721	ENSP00000299721	160	Q7Z7G2	CPLX4
ENST00000299727	ENSP00000299727	349	P47211	GALR1
ENST00000299752	ENSP00000299752	829	O75309	CDH16
ENST00000299759	ENSP00000299759	308	P55042	RRAD
ENST00000299766	ENSP00000299766	332	P32245	MC4R
ENST00000299767	ENSP00000299767	803	P14625	HSP90B1
ENST00000299824	ENSP00000299824	567	Q96T49	PPP1R16B
ENST00000299847	ENSP00000299847	412	Q494W8	CHRFAM7A
ENST00000299853	ENSP00000299853	708	Q9NVU0	POLR3E
ENST00000299855	ENSP00000299855	477	P08254	MMP3
ENST00000299866	ENSP00000299866	213	A6NH52	TVP23A
ENST00000299882	ENSP00000299882	457	Q9H3S3	TMPRSS5
ENST00000299886	ENSP00000299886	980	Q8WTW3	COG1
ENST00000299927	ENSP00000299927	1267	Q92610	ZNF592
ENST00000299957	ENSP00000299957	436	Q6P4E1	CASC4
ENST00000299964	ENSP00000299964	264	P40261	NNMT
ENST00000299977	ENSP00000299977	891	Q08AF3	SLFN5
ENST00000299980	ENSP00000299980	822	O43747	AP1G1
ENST00000300006	ENSP00000300006	204	Q96MC5	BMERB1
ENST00000300022	ENSP00000300022	127	Q96NS1	YPEL4
ENST00000300026	ENSP00000300026	216	P23284	PPIB
ENST00000300030	ENSP00000300030	160	Q9H5X1	CIAO2A
ENST00000300035	ENSP00000300035	111	Q15004	PCLAF
ENST00000300036	ENSP00000300036	1972	P35749	MYH11
ENST00000300051	ENSP00000300051	507	Q86WU2	LDHD
ENST00000300055	ENSP00000300055	522	O60240	PLIN1
ENST00000300056	ENSP00000300056	247	O75192	PEX11A
ENST00000300057	ENSP00000300057	268	Q9BRJ9	MESP1
ENST00000300060	ENSP00000300060	967	P15144	ANPEP
ENST00000300061	ENSP00000300061	649	P51170	SCNN1G
ENST00000300069	ENSP00000300069	209	Q6ZRY4	RBPMS2
ENST00000300086	ENSP00000300086	399	Q9NYB0	TERF2IP
ENST00000300087	ENSP00000300087	182	Q9BTE1	DCTN5
ENST00000300091	ENSP00000300091	372	Q8IYD9	C18orf54
ENST00000300093	ENSP00000300093	603	P53350	PLK1
ENST00000300098	ENSP00000300098	404	O15218	GPR182
ENST00000300101	ENSP00000300101	712	O15060	ZBTB39
ENST00000300105	ENSP00000300105	323	Q9Y698	CACNG2
ENST00000300107	ENSP00000300107	633	O76031	CLPX
ENST00000300108	ENSP00000300108	121	Q9UHF0	TAC3
ENST00000300113	ENSP00000300113	196	O43745	CHP2
ENST00000300119	ENSP00000300119	1043	Q9UBC5	MYO1A
ENST00000300127	ENSP00000300127	314	Q8NGJ1	OR4D6
ENST00000300128	ENSP00000300128	444	O14524	NEMP1
ENST00000300131	ENSP00000300131	525	Q15742	NAB2
ENST00000300134	ENSP00000300134	847	P42226	STAT6
ENST00000300145	ENSP00000300145	246	Q9Y6H3	ATP23
ENST00000300146	ENSP00000300146	770	Q86TB9	PATL1
ENST00000300151	ENSP00000300151	251	Q9NX20	MRPL16
ENST00000300175	ENSP00000300175	212	P05408	SCG5
ENST00000300176	ENSP00000300176	481	O95081	AGFG2
ENST00000300177	ENSP00000300177	184	O60565	GREM1
ENST00000300179	ENSP00000300179	841	Q6ZVC0	NYAP1
ENST00000300181	ENSP00000300181	395	Q9Y3Q8	TSC22D4
ENST00000300182	ENSP00000300182	147	Q96DS6	MS4A6E
ENST00000300184	ENSP00000300184	240	Q9GZW8	MS4A7
ENST00000300187	ENSP00000300187	679	Q96JA4	MS4A14
ENST00000300190	ENSP00000300190	200	Q9H3V2	MS4A5
ENST00000300209	ENSP00000300209	226	Q96AZ1	EEF1AKMT3
ENST00000300213	ENSP00000300213	360	O95273	CCNDBP1
ENST00000300226	ENSP00000300226	250	Q9BY19	MS4A8
ENST00000300231	ENSP00000300231	2803	P78559	MAP1A
ENST00000300249	ENSP00000300249	327	Q15555	MAPRE2
ENST00000300255	ENSP00000300255	441	P58658	EVA1C
ENST00000300258	ENSP00000300258	215	Q8TDR4	TCP10L
ENST00000300283	ENSP00000300283	417	P12532	CKMT1A
ENST00000300289	ENSP00000300289	505	P30101	PDIA3
ENST00000300291	ENSP00000300291	227	O43809	NUDT21
ENST00000300303	ENSP00000300303	369	Q8N8M0	NAT16
ENST00000300399	ENSP00000300399	507	Q8NFQ6	BPIFC
ENST00000300403	ENSP00000300403	747	Q9ULW0	TPX2
ENST00000300404	ENSP00000300404	566	Q8NHY0	B4GALNT2
ENST00000300406	ENSP00000300406	69	O14610	GNGT2
ENST00000300408	ENSP00000300408	272	P35232	PHB
ENST00000300413	ENSP00000300413	119	P62314	SNRPD1
ENST00000300417	ENSP00000300417	723	Q6UWE0	LRSAM1
ENST00000300433	ENSP00000300433	159	Q6UXU6	TMEM92
ENST00000300441	ENSP00000300441	615	Q96CM8	ACSF2
ENST00000300452	ENSP00000300452	265	Q9Y3A0	COQ4
ENST00000300456	ENSP00000300456	643	Q6P1M0	SLC27A4
ENST00000300482	ENSP00000300482	1503	O94759	TRPM2
ENST00000300504	ENSP00000300504	336	Q8IYX1	TBC1D21
ENST00000300527	ENSP00000300527	1019	P12110	COL6A2
ENST00000300557	ENSP00000300557	103	Q9BU68	PRR15L
ENST00000300571	ENSP00000300571	403	Q9NZH0	GPRC5B
ENST00000300574	ENSP00000300574	304	P46108	CRK
ENST00000300575	ENSP00000300575	132	Q96LL3	C16orf92
ENST00000300576	ENSP00000300576	693	A6NDK9	GOLGA6C
ENST00000300584	ENSP00000300584	963	Q9UPU7	TBC1D2B
ENST00000300589	ENSP00000300589	1040	Q9HC29	NOD2
ENST00000300605	ENSP00000300605	259	Q9H0R4	HDHD2
ENST00000300619	ENSP00000300619	1191	Q05481	ZNF91
ENST00000300650	ENSP00000300650	703	Q8ND24	RNF214
ENST00000300651	ENSP00000300651	1581	Q15648	MED1
ENST00000300658	ENSP00000300658	320	Q96FM1	PGAP3
ENST00000300688	ENSP00000300688	103	O75964	ATP5MG
ENST00000300692	ENSP00000300692	171	P04234	CD3D
ENST00000300714	ENSP00000300714	525	Q96N21	TEPSIN
ENST00000300737	ENSP00000300737	685	Q13586	STIM1
ENST00000300738	ENSP00000300738	792	P23921	RRM1
ENST00000300747	ENSP00000300747	485	Q6AZZ1	TRIM68
ENST00000300762	ENSP00000300762	261	Q9NRE1	MMP26
ENST00000300773	ENSP00000300773	312	Q9H339	OR51B5
ENST00000300778	ENSP00000300778	317	Q8NH59	OR51Q1
ENST00000300784	ENSP00000300784	309	Q9H479	FN3K
ENST00000300811	ENSP00000300811	188	Q96B54	ZNF428
ENST00000300835	ENSP00000300835	585	Q9BWN1	PRR14
ENST00000300850	ENSP00000300850	1832	O15015	ZNF646
ENST00000300853	ENSP00000300853	297	P07992	ERCC1
ENST00000300873	ENSP00000300873	70	Q9UK08	GNG8
ENST00000300896	ENSP00000300896	1604	Q8NFA0	USP32
ENST00000300900	ENSP00000300900	312	P22748	CA4
ENST00000300917	ENSP00000300917	991	Q8ND04	SMG8
ENST00000300935	ENSP00000300935	207	P61006	RAB8A
ENST00000300952	ENSP00000300952	468	Q504T8	MIDN
ENST00000300954	ENSP00000300954	755	Q6UW60	PCSK4
ENST00000300961	ENSP00000300961	331	Q96MG2	JSRP1
ENST00000300976	ENSP00000300976	615	Q53HC5	KLHL26
ENST00000301011	ENSP00000301011	953	Q86VM9	ZC3H18
ENST00000301012	ENSP00000301012	400	P53602	MVD
ENST00000301015	ENSP00000301015	2521	Q92508	PIEZO1
ENST00000301019	ENSP00000301019	546	Q9H211	CDT1
ENST00000301021	ENSP00000301021	140	Q9UL33	TRAPPC2L
ENST00000301030	ENSP00000301030	2663	Q6UB99	ANKRD11
ENST00000301031	ENSP00000301031	139	Q96N06	SPATA33
ENST00000301042	ENSP00000301042	438	Q96N77	ZNF641
ENST00000301043	ENSP00000301043	259	Q9BZG1	RAB34
ENST00000301046	ENSP00000301046	142	P00709	LALBA
ENST00000301050	ENSP00000301050	484	P54284	CACNB3
ENST00000301057	ENSP00000301057	393	Q8NBR0	TP53I13
ENST00000301061	ENSP00000301061	389	O00744	WNT10B
ENST00000301067	ENSP00000301067	5537	O14686	KMT2D
ENST00000301068	ENSP00000301068	183	Q8TAI7	RHEBL1
ENST00000301071	ENSP00000301071	451	Q71U36	TUBA1A
ENST00000301072	ENSP00000301072	449	Q9BQE3	TUBA1C
ENST00000301073	ENSP00000301073	264	Q96C55	ZNF524
ENST00000301093	ENSP00000301093	531	Q9NV72	ZNF701
ENST00000301096	ENSP00000301096	516	P51522	ZNF83
ENST00000301141	ENSP00000301141	494	P11509	CYP2A6
ENST00000301146	ENSP00000301146	494	P20853	CYP2A7
ENST00000301149	ENSP00000301149	349	P21695	GPD1
ENST00000301159	ENSP00000301159	246	Q96GY3	LIN37
ENST00000301175	ENSP00000301175	536	Q9UF12	PRODH2
ENST00000301178	ENSP00000301178	894	P30530	AXL
ENST00000301180	ENSP00000301180	1576	Q9P265	DIP2B
ENST00000301190	ENSP00000301190	452	Q7Z3H0	ANKRD33
ENST00000301200	ENSP00000301200	148	Q6NZY7	CDC42EP5
ENST00000301202	ENSP00000301202	152	Q6ISS4	LAIR2
ENST00000301204	ENSP00000301204	493	Q8NBT3	TMEM145
ENST00000301215	ENSP00000301215	670	Q8TF50	ZNF526
ENST00000301242	ENSP00000301242	147	Q96A00	PPP1R14A
ENST00000301244	ENSP00000301244	252	O43291	SPINT2
ENST00000301246	ENSP00000301246	106	Q9GZP8	C19orf33
ENST00000301258	ENSP00000301258	114	O43653	PSCA
ENST00000301263	ENSP00000301263	128	Q14210	LY6D
ENST00000301264	ENSP00000301264	454	O43293	DAPK3
ENST00000301272	ENSP00000301272	282	Q96BF3	TMIGD2
ENST00000301280	ENSP00000301280	956	Q13111	CHAF1A
ENST00000301281	ENSP00000301281	441	Q9BZV1	UBXN6
ENST00000301286	ENSP00000301286	1357	Q96Q06	PLIN4
ENST00000301295	ENSP00000301295	994	Q96MN2	NLRP4
ENST00000301305	ENSP00000301305	647	Q6P5W5	SLC39A4
ENST00000301310	ENSP00000301310	517	Q96NG8	ZNF582
ENST00000301318	ENSP00000301318	868	Q8NHY6	ZFP28
ENST00000301327	ENSP00000301327	412	Q96ES6	MFSD3
ENST00000301328	ENSP00000301328	313	Q9HC38	GLOD4
ENST00000301332	ENSP00000301332	838	Q96AC6	KIFC2
ENST00000301335	ENSP00000301335	569	Q8N370	SLC43A2
ENST00000301336	ENSP00000301336	401	Q96NA2	RILP
ENST00000301364	ENSP00000301364	804	Q2NL82	TSR1
ENST00000301391	ENSP00000301391	264	Q8WUJ1	CYB5D2
ENST00000301399	ENSP00000301399	485	Q9BSK1	ZNF577
ENST00000301408	ENSP00000301408	165	P0DN86	CGB3
ENST00000301420	ENSP00000301420	262	P06870	KLK1
ENST00000301452	ENSP00000301452	264	Q8TDN7	ACER1
ENST00000301454	ENSP00000301454	468	Q9BV35	SLC25A23
ENST00000301455	ENSP00000301455	406	Q9BY76	ANGPTL4
ENST00000301457	ENSP00000301457	113	O95182	NDUFA7
ENST00000301458	ENSP00000301458	282	Q9NPF0	CD320
ENST00000301459	ENSP00000301459	523	Q8IZ40	RCOR2
ENST00000301463	ENSP00000301463	442	Q8NCJ5	SPRYD3
ENST00000301464	ENSP00000301464	240	P24592	IGFBP6
ENST00000301466	ENSP00000301466	522	O75908	SOAT2
ENST00000301475	ENSP00000301475	402	Q96NG5	ZNF558
ENST00000301480	ENSP00000301480	790	Q96MR9	ZNF560
ENST00000301488	ENSP00000301488	126	O75956	CDK2AP2
ENST00000301522	ENSP00000301522	198	P32119	PRDX2
ENST00000301529	ENSP00000301529	315	Q8NGG0	OR8J3
ENST00000301532	ENSP00000301532	314	Q13606	OR5I1
ENST00000301547	ENSP00000301547	671	Q9Y2A4	ZNF443
ENST00000301585	ENSP00000301585	206	Q14197	MRPL58
ENST00000301587	ENSP00000301587	161	O75947	ATP5PD
ENST00000301599	ENSP00000301599	159	Q6PEY1	TMEM88
ENST00000301607	ENSP00000301607	2033	Q92817	EVPL
ENST00000301608	ENSP00000301608	660	Q15067	ACOX1
ENST00000301624	ENSP00000301624	1690	Q9HCJ0	TNRC6C
ENST00000301634	ENSP00000301634	234	P04183	TK1
ENST00000301645	ENSP00000301645	504	P22680	CYP7A1
ENST00000301653	ENSP00000301653	473	P08779	KRT16
ENST00000301656	ENSP00000301656	459	Q7Z3Y8	KRT27
ENST00000301659	ENSP00000301659	445	Q96QA5	GSDMA
ENST00000301671	ENSP00000301671	530	Q8N2G8	GHDC
ENST00000301678	ENSP00000301678	552	Q9H0X4	FAM234A
ENST00000301686	ENSP00000445926	204	Q96S19	METTL26
ENST00000301691	ENSP00000301691	213	Q9BQB4	SOST
ENST00000301717	ENSP00000301717	355	Q6PJ21	SPSB3
ENST00000301727	ENSP00000301727	784	Q66K89	E4F1
ENST00000301729	ENSP00000301729	302	P42126	ECI1
ENST00000301730	ENSP00000301730	305	Q15287	RNPS1
ENST00000301732	ENSP00000301732	1704	Q99758	ABCA3
ENST00000301738	ENSP00000301738	234	Q9NXV2	KCTD5
ENST00000301740	ENSP00000301740	2752	Q9UQ35	SRRM2
ENST00000301744	ENSP00000301744	424	Q96LX8	ZNF597
ENST00000301761	ENSP00000301761	166	Q9NX18	SDHAF2
ENST00000301764	ENSP00000301764	1140	Q16531	DDB1
ENST00000301765	ENSP00000301765	355	A5D8V6	VPS37C
ENST00000301776	ENSP00000301776	308	Q7L266	ASRGL1
ENST00000301785	ENSP00000301785	747	Q1KMD3	HNRNPUL2
ENST00000301788	ENSP00000301788	172	P62487	POLR2G
ENST00000301790	ENSP00000301790	279	Q96KN8	PLAAT5
ENST00000301821	ENSP00000346067	295	P08865	RPSA
ENST00000301825	ENSP00000301825	529	O75355	ENTPD3
ENST00000301831	ENSP00000301831	1275	Q96C45	ULK4
ENST00000301838	ENSP00000301838	208	Q13158	FADD
ENST00000301843	ENSP00000301843	550	Q14247	CTTN
ENST00000301873	ENSP00000301873	1303	Q9NS15	LTBP3
ENST00000301887	ENSP00000301887	274	Q8N1L9	BATF2
ENST00000301891	ENSP00000301891	550	Q9NSA0	SLC22A11
ENST00000301894	ENSP00000301894	666	P58401	NRXN2
ENST00000301904	ENSP00000301904	606	Q6AZY7	SCARA3
ENST00000301905	ENSP00000301905	322	Q96KB5	PBK
ENST00000301908	ENSP00000301908	176	Q13519	PNOC
ENST00000301919	ENSP00000304713	345	Q8NCY6	MSANTD4
ENST00000301935	ENSP00000303991	297	Q04323	UBXN1
ENST00000301944	ENSP00000305631	212	Q96CM4	NXNL1
ENST00000301964	ENSP00000307684	432	O75528	TADA3
ENST00000301981	ENSP00000304923	367	Q86X40	LRRC28
ENST00000301998	ENSP00000305595	397	Q9NY97	B3GNT2
ENST00000302000	ENSP00000302327	419	Q9Y3Y4	PYGO1
ENST00000302005	ENSP00000303394	150	Q12988	HSPB3
ENST00000302006	ENSP00000305244	480	P78414	IRX1
ENST00000302014	ENSP00000304236	375	P08571	CD14
ENST00000302017	ENSP00000304769	595	Q7Z7K2	ZNF467
ENST00000302030	ENSP00000303096	315	Q8NGJ0	OR5A1
ENST00000302035	ENSP00000306190	335	Q13291	SLAMF1
ENST00000302040	ENSP00000303834	324	Q8NGI9	OR5A2
ENST00000302057	ENSP00000307006	471	Q9BZI1	IRX2
ENST00000302060	ENSP00000302843	358	Q9H819	DNAJC18
ENST00000302068	ENSP00000306099	491	P02675	FGB
ENST00000302084	ENSP00000305640	308	Q8NGZ6	OR6F1
ENST00000302085	ENSP00000305769	465	Q15797	SMAD1
ENST00000302096	ENSP00000302763	194	Q8TD35	LKAAEAR1
ENST00000302101	ENSP00000302189	133	Q02575	NHLH1
ENST00000302103	ENSP00000302599	359	Q9Y231	FUT9
ENST00000302118	ENSP00000303208	692	Q8NBP7	PCSK9
ENST00000302124	ENSP00000303864	310	Q8N0Y5	OR8I2
ENST00000302125	ENSP00000303920	189	Q8WU39	MZB1
ENST00000302165	ENSP00000307265	584	Q8IU81	IRF2BP1
ENST00000302174	ENSP00000303575	350	Q9BW91	NUDT9
ENST00000302177	ENSP00000304004	350	P55318	FOXA3
ENST00000302182	ENSP00000304697	229	P0CG47	UBB
ENST00000302188	ENSP00000306817	322	Q9H477	RBKS
ENST00000302190	ENSP00000307046	201	P34741	SDC2
ENST00000302231	ENSP00000306651	310	Q6IEV9	OR4C11
ENST00000302236	ENSP00000305533	903	Q9H5L6	THAP9
ENST00000302243	ENSP00000306117	478	Q9NUU7	DDX19A
ENST00000302247	ENSP00000303532	64	O15263	DEFB4A
ENST00000302250	ENSP00000306888	585	Q8WW52	FAM151A
ENST00000302259	ENSP00000302805	396	Q8WTU0	DDI1
ENST00000302262	ENSP00000305692	952	P10253	GAA
ENST00000302270	ENSP00000304188	309	Q8NH10	OR8U1
ENST00000302271	ENSP00000304405	633	O43390	HNRNPR
ENST00000302274	ENSP00000304736	265	Q9H5J4	ELOVL6
ENST00000302277	ENSP00000303252	1209	Q7Z570	ZNF804A
ENST00000302278	ENSP00000303351	798	P05556	ITGB1
ENST00000302279	ENSP00000303423	379	P49354	FNTA
ENST00000302291	ENSP00000303758	1076	Q86V48	LUZP1
ENST00000302312	ENSP00000307199	102	Q9NZD4	AHSP
ENST00000302313	ENSP00000307491	677	Q8TAF3	WDR48
ENST00000302326	ENSP00000304956	1320	Q10571	MN1
ENST00000302327	ENSP00000307183	280	Q9H160	ING2
ENST00000302328	ENSP00000307599	1791	Q9UI33	SCN11A
ENST00000302334	ENSP00000304987	415	Q13515	BFSP2
ENST00000302342	ENSP00000304308	1048	O75362	ZNF217
ENST00000302345	ENSP00000307674	401	Q8WVQ1	CANT1
ENST00000302351	ENSP00000306356	589	O14682	ENC1
ENST00000302362	ENSP00000304327	184	Q9NQ92	COPRS
ENST00000302386	ENSP00000306866	117	O95166	GABARAP
ENST00000302392	ENSP00000306564	159	Q69YG0	TMEM42
ENST00000302418	ENSP00000307078	963	P33176	KIF5B
ENST00000302422	ENSP00000301939	113	Q8N2U0	TMEM256
ENST00000302445	ENSP00000303043	597	Q15046	KARS
ENST00000302450	ENSP00000305204	745	Q8IYA6	CKAP2L
ENST00000302451	ENSP00000305465	584	Q8N807	PDILT
ENST00000302472	ENSP00000302846	488	P35408	PTGER4
ENST00000302475	ENSP00000305617	829	P23508	MCC
ENST00000302495	ENSP00000305919	476	P83105	HTRA4
ENST00000302503	ENSP00000303222	303	Q9Y6C9	MTCH2
ENST00000302506	ENSP00000303706	524	P30304	CDC25A
ENST00000302509	ENSP00000306279	640	P07911	UMOD
ENST00000302514	ENSP00000302274	329	Q9BXJ3	C1QTNF4
ENST00000302516	ENSP00000305790	1217	Q15393	SF3B3
ENST00000302517	ENSP00000302543	322	Q7LFL8	CXXC5
ENST00000302536	ENSP00000303129	419	Q9HCJ6	VAT1L
ENST00000302538	ENSP00000303909	859	Q12979	ABR
ENST00000302541	ENSP00000301972	859	Q8NFW9	MYRIP
ENST00000302548	ENSP00000303549	336	Q96P67	GPR82
ENST00000302558	ENSP00000306637	1765	O14715	RGPD8
ENST00000302572	ENSP00000306657	314	Q96R08	OR5B12
ENST00000302581	ENSP00000303076	309	Q96R09	OR5B2
ENST00000302584	ENSP00000306754	382	Q15784	NEUROD2
ENST00000302586	ENSP00000302227	422	Q16773	KYAT1
ENST00000302592	ENSP00000305469	325	Q8NGQ3	OR1S2
ENST00000302609	ENSP00000302222	456	P17030	ZNF25
ENST00000302610	ENSP00000302606	314	Q8NGQ6	OR9I1
ENST00000302617	ENSP00000304807	325	Q8NGX8	OR6Y1
ENST00000302622	ENSP00000307734	317	Q8NGQ2	OR6Q1
ENST00000302625	ENSP00000304250	367	Q13319	CDK5R2
ENST00000302628	ENSP00000307508	271	P22676	CALB2
ENST00000302631	ENSP00000307275	347	O14828	SCAMP3
ENST00000302632	ENSP00000307259	342	Q9H244	P2RY12
ENST00000302641	ENSP00000306390	290	Q9BQR3	PRSS27
ENST00000302649	ENSP00000303452	242	P20396	TRH
ENST00000302681	ENSP00000305055	316	Q8NGT1	OR2K2
ENST00000302692	ENSP00000306328	321	Q9BSK2	SLC25A33
ENST00000302708	ENSP00000302232	286	Q96Q83	ALKBH3
ENST00000302746	ENSP00000307241	359	P11177	PDHB
ENST00000302754	ENSP00000303315	347	P17275	JUNB
ENST00000302755	ENSP00000303518	239	Q8WVL7	ANKRD49
ENST00000302759	ENSP00000302530	1085	O43683	BUB1
ENST00000302763	ENSP00000304669	906	P35221	CTNNA1
ENST00000302764	ENSP00000304854	157	Q8WVJ2	NUDCD2
ENST00000302783	ENSP00000307640	189	A6NLP5	TTC36
ENST00000302787	ENSP00000305653	739	O95202	LETM1
ENST00000302797	ENSP00000305766	322	Q96LB2	MRGPRX1
ENST00000302804	ENSP00000302898	309	Q9UQB9	AURKC
ENST00000302805	ENSP00000302978	288	O43610	SPRY3
ENST00000302819	ENSP00000307697	681	Q99424	ACOX2
ENST00000302824	ENSP00000304032	213	Q9NSY2	STARD5
ENST00000302850	ENSP00000303830	1382	P06213	INSR
ENST00000302851	ENSP00000303915	486	Q8N587	ZNF561
ENST00000302874	ENSP00000303468	513	Q9H5U6	ZCCHC4
ENST00000302904	ENSP00000302640	764	P17480	UBTF
ENST00000302907	ENSP00000302896	194	P46781	RPS9
ENST00000302909	ENSP00000306275	394	O14649	KCNK3
ENST00000302917	ENSP00000303777	312	Q9BXU2	TEX13B
ENST00000302926	ENSP00000305288	835	Q8NFZ4	NLGN2
ENST00000302937	ENSP00000305524	310	Q9BSV6	TSEN34
ENST00000302938	ENSP00000305596	605	Q8TC56	FAM71B
ENST00000302945	ENSP00000304331	264	Q9H4S2	GSX1
ENST00000302946	ENSP00000304401	407	Q499Z3	SLFNL1
ENST00000302957	ENSP00000307515	327	Q8NGQ1	OR9G4
ENST00000302964	ENSP00000304336	89	Q8WXC3	PYDC1
ENST00000302979	ENSP00000302478	133	P0DPB6	POLR1D
ENST00000302987	ENSP00000302935	1332	Q14005	IL16
ENST00000302995	ENSP00000303102	589	Q86UZ6	ZBTB46
ENST00000303004	ENSP00000305422	345	P17676	CEBPB
ENST00000303015	ENSP00000302166	374	Q9NPC2	KCNK9
ENST00000303037	ENSP00000303963	263	Q6GPI1	CTRB2
ENST00000303039	ENSP00000304060	316	Q8NGP2	OR8J1
ENST00000303045	ENSP00000303153	1626	Q8NFW1	COL22A1
